country,region,year,sector,population,gdp_billion_usd,co2_emissions_million_tons,scenario
Nigeria,Africa,2023,Energy,2069778825.0,4794602.547220838,556.95,Policy_Reduction
Philippines,Asia,2001,Energy,134756716.0,,4374.24,Renewable_Transition
France,Europe,2007,Energy,1317723810.0,1212302.05752539,4529.44,High_Growth
France,Europe,2007,Industry,1317723810.0,,2445.41,Baseline
Argentina,South America,2003,Industry,600435305.0,2957633.9,,Baseline
Russia,Europe,1996,Industry,1243896335.0,1638529.5982090698,1525.18,High_Growth
Vietnam,Asia,2012,Transport,,1206462.36,1357.55,Baseline
China,Asia,1997,Transport,173727794.0,2058960.528227605,466.66,Renewable_Transition
JAPAN,Asia,2018,Transport,588095359.0,3744363.498081596,3894.55,Renewable_Transition
France,Europe,2012,Energy,1651184186.0,1544853.115313051,4905.33,Renewable_Transition
Vietnam,Asia,1996,Agriculture,278670923.0,652219.29,625.97,Baseline
India,Asia,2018,Agriculture,1999380332.0,,870.47,High_Growth
Thailand,Asia,2023,Transport,,14974908.149391683,649.97,High_Growth
India,Asia,2010,Agriculture,1721423959.0,3491262.245497391,,High_Growth
Turkey,Middle East,1995,Industry,270810084.0,653593.6411939864,2848.1,Policy_Reduction
UAE,Asia,2003,Transport,841843273.0,2359306.423268454,2764.22,High_Growth
Bangladesh,Asia,1996,Transport,,234881.08,,Baseline
Canada,North America,2020,Agriculture,1135420594.0,2173214.64,1680.23,Baseline
Malaysia,Asia,2013,Industry,1699084901.0,4153019.8055256056,5229.58,High_Growth
France,Europe,2024,Energy,2104211229.0,,15088.75,High_Growth
Indonesia,Asia,2019,Transport,802939027.0,3830165.5499590538,1625.7,Policy_Reduction
Argentina,South America,1995,Residential,567377065.0,2285676.4226074032,446.26,Policy_Reduction
Italy,Europe,2001,Energy,982071027.0,1462948.0291027504,6906.83,Policy_Reduction
Australia,Oceania,1999,Agriculture,597881580.0,210598.0900029914,784.29,Policy_Reduction
UAE,Asia,1996,Industry,762459090.0,1814455.3010769528,1976.5,Renewable_Transition
Russia,Europe,2015,Transport,1620900090.0,3721361.6752410107,1606.69,Renewable_Transition
Canada,North America,2021,Energy,883678234.0,2243294.2041807463,7327.66,Renewable_Transition
UAE,Asia,1995,Residential,755257736.0,1722543.0,1095.76,Baseline
India,Asia,2007,Industry,1684959690.0,2758426.8062355635,2394.12,Renewable_Transition
UAE,Asia,2022,Industry,885167707.0,5947785.4570694035,5053.16,Policy_Reduction
Vietnam,Asia,1998,Agriculture,286439207.0,721947.3347409124,549.22,Policy_Reduction
United Kingdom,Europe,1998,Transport,71668848.0,1325783.385826984,2627.8,High_Growth
France,Europe,2013,Residential,1696957279.0,1273916.53,2415.26,Baseline
United States,North America,2004,Energy,1452192673.0,302509.20440669305,2233.67,Renewable_Transition
South Korea,Asia,2016,Residential,,3908947.329498692,,Policy_Reduction
United Kingdom,Europe,2010,Energy,91047845.0,2557761.782676684,,High_Growth
United Kingdom,Europe,2014,Agriculture,98198912.0,2136429.94832467,551.08,Renewable_Transition
Vietnam,Asia,2003,Transport,297887128.0,880614.0240881832,1454.45,Policy_Reduction
THAILAND,Asia,2024,Transport,56583039.0,11704667.623925712,903.73,High_Growth
Canada,North America,2017,Transport,,,,Policy_Reduction
Bangladesh,Asia,2017,Agriculture,1936722701.0,355796.19610317156,1403.0,Renewable_Transition
Egypt,Africa,1997,Transport,1045179586.0,2613129.8122267425,261.92,Policy_Reduction
South Africa,Africa,2023,Residential,,1521326.3100032723,968.91,High_Growth
JAPAN,Asia,2015,Agriculture,485719836.0,6330912.23,1175.57,Baseline
Argentina,South America,1995,Energy,567377065.0,2480410.347479958,,High_Growth
Canada,North America,2007,Transport,932496714.0,1395340.83,1644.66,Baseline
South Africa,Africa,2023,Residential,,1380604.0445279921,643.97,Renewable_Transition
India,Asia,2008,Energy,1698861171.0,2548347.0562153263,3853.28,Renewable_Transition
Bangladesh,Asia,2017,Transport,1936722701.0,356500.0439940224,973.88,Renewable_Transition
Turkey,Middle East,2023,Transport,430266840.0,,1645.29,Baseline
Philippines,Asia,2006,Transport,148503547.0,4380045.516628054,1738.97,Renewable_Transition
India,Asia,2015,Agriculture,1702119532.0,3365822.7111290405,,Policy_Reduction
Indonesia,Asia,2000,Transport,542412039.0,1522049.8305560898,2039.99,Renewable_Transition
Malaysia,Asia,2004,Energy,1495756190.0,2342188.7919162805,6727.89,High_Growth
Indonesia,Asia,2022,Transport,843761902.0,4103215.9086002745,3920.5,High_Growth
Iran,Asia,2011,Energy,991412483.0,893239.2529853677,1392.24,Policy_Reduction
Turkey,Middle East,2024,Agriculture,375655872.0,1904009.6408132438,,High_Growth
Thailand,Asia,1998,Agriculture,34653381.0,3003694.522216432,93.16,Renewable_Transition
Argentina,South America,2019,Energy,752374258.0,5091129.357515347,2451.74,Renewable_Transition
China,Asia,2013,Agriculture,194770135.0,5045802.2311556535,368.92,Policy_Reduction
Turkey,Middle East,2017,Residential,399703949.0,1511814.17,1121.53,Baseline
Argentina,South America,2000,Transport,621772670.0,2537396.5172675992,640.63,Renewable_Transition
South Korea,Asia,2003,Residential,1326470287.0,2675186.947495113,804.25,High_Growth
United States,North America,2018,Energy,1391141796.0,533231.5855153747,3053.87,Policy_Reduction
Malaysia,Asia,2022,Industry,1585190813.0,,6480.17,Policy_Reduction
Egypt,Africa,2008,Agriculture,,4152100.13,140.35,Baseline
France,Europe,2014,Agriculture,1390748911.0,1055446.92,795.09,Baseline
Saudi Arabia,Middle East,2015,Energy,1769472263.0,5806331.643586544,1031.11,Renewable_Transition
Nigeria,Africa,2001,Agriculture,1354675363.0,2166836.9624693096,32.79,Renewable_Transition
NIGERIA,Africa,2016,Energy,1574429887.0,2836392.000128797,183.93,Policy_Reduction
Thailand,Asia,1999,Industry,,3059452.0543636414,,Renewable_Transition
RUSSIA,Europe,2012,Agriculture,1508343769.0,2454739.8689108333,433.12,High_Growth
SOUTH KOREA,Asia,2003,Agriculture,1326470287.0,2699219.3841585,420.15,High_Growth
United States,North America,2022,Transport,1890505235.0,1076635.6190374552,1310.67,Policy_Reduction
Iran,Asia,2015,Transport,,1378112.4913349978,190.45,Renewable_Transition
Bangladesh,Asia,2005,Agriculture,1500274956.0,286936.94638614316,987.41,Policy_Reduction
Japan,Asia,2023,Transport,656311140.0,6081571.041752163,5721.8,High_Growth
Spain,Europe,2013,Industry,702619618.0,2146173.79192922,3251.16,Renewable_Transition
India,Asia,2017,Industry,1853501868.0,3278787.7145388755,9770.26,High_Growth
Pakistan,Asia,2024,Residential,1831816762.0,8457134.414922053,770.07,Renewable_Transition
Nigeria,Africa,2010,Energy,1632069942.0,2262441.67,206.73,Baseline
Nigeria,Africa,2016,Residential,1574429887.0,2783891.1312715365,69.11,Renewable_Transition
Argentina,South America,2009,Energy,672867261.0,4717517.243694944,1527.17,Policy_Reduction
United Kingdom,Europe,2014,Energy,,,2658.23,Renewable_Transition
Egypt,Africa,2010,Transport,,4281314.961211668,337.79,Renewable_Transition
Indonesia,Asia,2016,Industry,659179769.0,3512848.55,6360.06,Baseline
Pakistan,Asia,2003,Residential,1479277131.0,2816708.54,494.11,Baseline
Thailand,Asia,2012,Energy,40776043.0,5330860.462436869,,Policy_Reduction
United Kingdom,Europe,2007,Transport,85531918.0,1532933.12,3190.48,Baseline
South Korea,Asia,2011,Industry,1411665861.0,3690470.9174393606,1098.72,High_Growth
Egypt,Africa,2016,Industry,1387509164.0,6495814.945463824,283.02,Renewable_Transition
Germany,Europe,2003,Energy,257833453.0,3265143.898653576,5176.76,High_Growth
France,Europe,2018,Energy,1396339262.0,1970828.4112673763,5362.29,High_Growth
Argentina,South America,2023,Industry,981667848.0,10643998.78,3864.12,Baseline
India,Asia,1998,Transport,1432011681.0,1601996.5200458232,1924.35,Policy_Reduction
United Kingdom,Europe,2003,Agriculture,72947448.0,,995.62,Policy_Reduction
VIETNAM,Asia,2008,Energy,313225022.0,1048099.46,5373.95,Baseline
Turkey,Middle East,2018,Agriculture,394700945.0,1745980.5142492799,,High_Growth
Brazil,South America,2002,Transport,458835723.0,3056615.700442774,2740.84,High_Growth
Egypt,Africa,1997,Residential,1045179586.0,2649478.3,,Baseline
United States,North America,2009,Energy,1623576063.0,484221.09415596304,4063.55,Renewable_Transition
Pakistan,Asia,2021,Agriculture,2125031360.0,5450751.4833507985,,Policy_Reduction
UAE,Asia,2011,Transport,833891785.0,2861703.5523768365,1227.05,Renewable_Transition
TURKEY,Middle East,2006,Residential,314323203.0,888131.0740077733,1072.26,Policy_Reduction
Australia,Oceania,2022,Transport,842985807.0,,5571.95,High_Growth
Malaysia,Asia,2003,Residential,1443796682.0,2593875.1132223615,1333.34,High_Growth
Nigeria,Africa,2012,Energy,,3946420.7606889093,,High_Growth
Mexico,North America,2006,Transport,253618726.0,,369.72,Baseline
Spain,Europe,2013,Transport,702619618.0,2123590.13,3163.91,Baseline
Spain,Europe,1999,Industry,569220942.0,1827859.7044760543,2818.67,High_Growth
Vietnam,Asia,1996,Transport,278670923.0,707461.6856218159,1796.69,High_Growth
Brazil,South America,2001,Agriculture,,2931663.930863073,1293.73,High_Growth
India,Asia,2011,Residential,1512908853.0,2782920.51,,Baseline
Canada,North America,1997,Residential,761186970.0,868750.9858792411,838.72,Renewable_Transition
Saudi Arabia,Middle East,2001,Industry,1360130533.0,2955960.7058030018,310.85,Renewable_Transition
United Kingdom,Europe,2015,Residential,99747177.0,1797418.2,1575.5,Baseline
Iran,Asia,2021,Transport,1213242857.0,780981.11,361.15,Baseline
Canada,North America,2001,Energy,824882299.0,1078853.0921228998,6928.37,High_Growth
UAE,Asia,2011,Industry,833891785.0,2847418.0556649514,2782.9,Renewable_Transition
Bangladesh,Asia,2019,Energy,1798009587.0,586039.1,7120.08,Baseline
Spain,Europe,2024,Agriculture,,3275261.29,,Baseline
Japan,Asia,2020,Agriculture,598454104.0,4019936.179323956,637.03,Renewable_Transition
PHILIPPINES,Asia,2014,Residential,,5008907.57,1732.22,Baseline
Italy,Europe,2014,Industry,,2561613.29,,Baseline
Philippines,Asia,2009,Agriculture,,5555823.583823074,1796.82,High_Growth
BRAZIL,South America,2024,Residential,616515058.0,6545922.405513208,3771.94,High_Growth
Italy,Europe,2000,Transport,920511009.0,,2970.02,Baseline
Vietnam,Asia,2017,Agriculture,361136130.0,2100236.680788804,485.33,Policy_Reduction
Iran,Asia,2005,Residential,894880751.0,677368.78,229.39,Baseline
Germany,Europe,2016,Energy,293872598.0,7920595.703849703,8992.24,High_Growth
South Africa,Africa,1995,Residential,423664551.0,608070.3982904969,286.67,Renewable_Transition
Pakistan,Asia,2010,Industry,1749730546.0,4175446.836462148,661.26,Policy_Reduction
Italy,Europe,2022,Energy,1166530394.0,3740481.7,5642.09,Baseline
Indonesia,Asia,2015,Energy,587757039.0,2107837.184048215,5956.68,High_Growth
Canada,North America,2005,Residential,872800069.0,1171636.695491262,1948.83,High_Growth
Japan,Asia,2000,Residential,,2755264.46,1324.0,Baseline
Turkey,Middle East,2019,Transport,326574468.0,,2827.63,Policy_Reduction
Russia,Europe,2010,Agriculture,1340758533.0,,456.81,High_Growth
Pakistan,Asia,2013,Transport,1664514856.0,4245183.694208294,,Renewable_Transition
Russia,Europe,2021,Industry,1748840219.0,,,Renewable_Transition
Egypt,Africa,2004,Agriculture,1162957433.0,,212.6,High_Growth
Spain,Europe,1997,Agriculture,559754742.0,1755586.8745992894,755.36,High_Growth
United States,North America,2019,Transport,1852068306.0,818723.1572144352,1189.44,Renewable_Transition
Turkey,Middle East,2021,Residential,,2472756.2378634834,1273.93,High_Growth
Bangladesh,Asia,2013,Residential,1564917955.0,464102.28442815965,1003.91,Renewable_Transition
Italy,Europe,1997,Energy,910974186.0,1224668.3375964183,7240.52,High_Growth
Spain,Europe,2001,Residential,601687953.0,1790105.7316249148,969.96,Policy_Reduction
Bangladesh,Asia,2014,Agriculture,1847052820.0,331070.50469969044,1330.24,Renewable_Transition
Bangladesh,Asia,2011,Agriculture,1612795936.0,482829.0,1016.11,Baseline
United States,North America,2007,Energy,1566775202.0,340863.31,,Baseline
Bangladesh,Asia,2015,Transport,1569691004.0,734902.9470986382,2611.31,High_Growth
Nigeria,Africa,2012,Residential,1420961262.0,3653373.754527934,68.22,Policy_Reduction
Argentina,South America,2019,Industry,752374258.0,5043229.753718095,1040.55,Renewable_Transition
Philippines,Asia,2023,Agriculture,149953115.0,14039191.319394814,685.62,High_Growth
Malaysia,Asia,2018,Agriculture,1878741880.0,3900486.3718325044,1393.23,Policy_Reduction
Nigeria,Africa,2017,Agriculture,1821440510.0,5343588.441812883,21.39,Renewable_Transition
Japan,Asia,2014,Agriculture,501925448.0,,1814.67,Baseline
Italy,Europe,2020,Residential,,3500424.7262861934,1603.78,High_Growth
UAE,Asia,2014,Agriculture,1062079852.0,2742141.2651962135,1524.12,Policy_Reduction
Bangladesh,Asia,2001,Agriculture,1530330050.0,306167.66,726.05,Baseline
Argentina,South America,2010,Transport,677948957.0,5075445.04,788.31,Baseline
South Korea,Asia,2020,Transport,1423497897.0,6464236.531886863,,Renewable_Transition
Turkey,Middle East,2010,Transport,,1261441.1239780413,2403.23,Policy_Reduction
Malaysia,Asia,2013,Industry,1699084901.0,3701190.249393913,3368.14,Renewable_Transition
Nigeria,Africa,2000,Energy,1432388027.0,2041628.71,211.84,Baseline
China,Asia,2024,Agriculture,297224435.0,5914563.656480502,237.56,Policy_Reduction
France,Europe,1995,Energy,1228067867.0,740097.0578964793,4822.84,High_Growth
Pakistan,Asia,2019,Industry,1639884474.0,3875612.56,1925.39,Baseline
UNITED STATES,North America,2009,Residential,1623576063.0,,754.48,Baseline
India,Asia,2020,Industry,2258261528.0,4934322.615092793,8234.39,Policy_Reduction
Iran,Asia,1998,Agriculture,822440553.0,518954.0913863178,131.38,Policy_Reduction
UAE,Asia,1995,Residential,755257736.0,1783349.141558219,839.85,Renewable_Transition
Vietnam,Asia,2006,Energy,327749648.0,800546.35,4998.12,Baseline
Pakistan,Asia,1995,Residential,1358824238.0,1827034.313381333,369.37,Policy_Reduction
South Korea,Asia,2011,Agriculture,1411665861.0,3421303.4,635.57,Baseline
UNITED STATES,North America,2017,Residential,,555348.0444525611,476.29,Policy_Reduction
United Kingdom,Europe,2020,Transport,105607575.0,3271402.9073267393,2800.2,High_Growth
Bangladesh,Asia,1998,Industry,1450350915.0,244035.8367649112,2522.31,Policy_Reduction
Nigeria,Africa,2010,Transport,1632069942.0,2235801.019458439,78.53,Policy_Reduction
Malaysia,Asia,2010,Energy,1609520977.0,3592200.7,4201.49,Baseline
Brazil,South America,2006,Transport,449094170.0,3971037.4317694926,2520.68,High_Growth
Australia,Oceania,2016,Agriculture,780753866.0,614710.7952885107,640.12,Policy_Reduction
UAE,Asia,2014,Industry,1062079852.0,2606281.5137602077,1678.5,Policy_Reduction
Malaysia,Asia,2016,Energy,1985850393.0,4271633.361016223,,Renewable_Transition
INDONESIA,Asia,2010,Energy,563217939.0,2213244.3638247536,3527.35,Renewable_Transition
France,Europe,2008,Residential,1390196838.0,1177242.3537895132,799.8,Renewable_Transition
ARGENTINA,South America,2008,Energy,,3692688.2880799877,2757.46,Policy_Reduction
Malaysia,Asia,1995,Agriculture,1385238797.0,1915546.3515504748,615.98,Policy_Reduction
France,Europe,1997,Transport,1263173911.0,750753.6483531428,2028.77,High_Growth
Saudi Arabia,Middle East,2008,Industry,1375101844.0,4655513.953674773,,Policy_Reduction
Malaysia,Asia,2011,Residential,,4116854.266719944,973.22,Renewable_Transition
South Africa,Africa,2022,Energy,,2143723.7,4905.47,Baseline
Saudi Arabia,Middle East,2015,Energy,1769472263.0,5962817.91,1331.29,Baseline
Canada,North America,2019,Energy,1032831291.0,,3729.25,Baseline
Italy,Europe,2000,Energy,920511009.0,1305319.6281616064,6870.15,High_Growth
Indonesia,Asia,2024,Energy,851402140.0,4407187.573784925,8029.06,Policy_Reduction
Brazil,South America,2002,Residential,458835723.0,2748872.25,1976.48,Baseline
UAE,Asia,2009,Industry,925324159.0,3317018.08318235,5762.47,High_Growth
Japan,Asia,1996,Agriculture,408331618.0,2232568.0,917.09,Baseline
India,Asia,2022,Residential,1742746529.0,5078975.75,2978.09,Baseline
Japan,Asia,2011,Agriculture,497463738.0,5059606.474282428,1328.69,Policy_Reduction
Canada,North America,2012,Agriculture,887594841.0,1902835.871830015,504.55,Policy_Reduction
Indonesia,Asia,2015,Agriculture,587757039.0,2018275.2466504762,1721.9,Policy_Reduction
Thailand,Asia,2006,Transport,40508649.0,4838517.311616111,201.41,Renewable_Transition
Bangladesh,Asia,1998,Agriculture,1450350915.0,255145.76767600872,662.43,Renewable_Transition
Indonesia,Asia,2004,Energy,577247454.0,1531243.6918639743,5077.65,Policy_Reduction
Canada,North America,2002,Industry,811909626.0,,,High_Growth
China,Asia,2024,Energy,297224435.0,5792583.7,1567.55,Baseline
Mexico,North America,2023,Energy,301403662.0,501643.0583756126,1777.52,Renewable_Transition
China,Asia,2013,Transport,194770135.0,5003697.71,821.69,Baseline
Saudi Arabia,Middle East,2020,Industry,1886914191.0,7889698.257316374,157.95,Renewable_Transition
Canada,North America,2001,Agriculture,824882299.0,1013331.1102314437,734.18,Policy_Reduction
South Africa,Africa,2005,Agriculture,447968907.0,1015917.0,236.52,Baseline
Turkey,Middle East,2016,Industry,340076662.0,1722957.99,2857.58,Baseline
Germany,Europe,2005,Residential,267984801.0,3788774.9824996134,983.61,Renewable_Transition
Saudi Arabia,Middle East,2020,Energy,1886914191.0,8163869.390328091,,High_Growth
UAE,Asia,2009,Residential,925324159.0,3065168.02,988.11,Baseline
Japan,Asia,2012,Transport,532885847.0,4194581.070458205,,High_Growth
South Korea,Asia,2016,Transport,1417056994.0,,1090.29,High_Growth
Australia,Oceania,2007,Industry,642659702.0,282959.17860601004,1990.92,Policy_Reduction
Germany,Europe,1997,Industry,240119503.0,2460568.4568465874,2677.54,Policy_Reduction
Malaysia,Asia,2003,Residential,1443796682.0,2420389.6970385956,963.3,Policy_Reduction
Italy,Europe,2023,Transport,1487578413.0,2189099.400565241,6427.76,Renewable_Transition
France,Europe,2022,Agriculture,1796845418.0,1320679.7646152512,325.55,Renewable_Transition
Mexico,North America,2013,Residential,281929937.0,268957.51207712863,296.85,High_Growth
Philippines,Asia,1995,Agriculture,123218031.0,2426136.516914042,713.82,Policy_Reduction
Mexico,North America,2012,Transport,,232053.32891314614,520.61,Policy_Reduction
Russia,Europe,2016,Transport,1740702039.0,3552725.6512159877,1048.08,Policy_Reduction
South Africa,Africa,2001,Agriculture,448721279.0,712694.8795659178,183.06,Renewable_Transition
Spain,Europe,2007,Energy,640195702.0,2991453.130121798,4588.61,High_Growth
Japan,Asia,2022,Residential,510935354.0,6042375.931399724,1177.66,Policy_Reduction
Pakistan,Asia,2008,Energy,1733351334.0,3531134.22,1800.57,Baseline
South Africa,Africa,2017,Transport,523530291.0,1010565.8415448148,378.4,Policy_Reduction
Canada,North America,2009,Transport,875945532.0,1301828.8235377904,1980.53,Policy_Reduction
South Korea,Asia,1997,Agriculture,1193664656.0,1685661.31,377.14,Baseline
Indonesia,Asia,2003,Agriculture,542326720.0,1695121.0866163783,953.87,Policy_Reduction
Mexico,North America,2017,Transport,314201656.0,497258.5484041502,583.12,Renewable_Transition
India,Asia,2023,Industry,2226977323.0,5213040.8385217395,5367.85,Renewable_Transition
Saudi Arabia,Middle East,2016,Residential,1450452746.0,3814805.719342181,194.08,Renewable_Transition
Nigeria,Africa,2006,Transport,1422596289.0,2508071.5323570804,59.84,Renewable_Transition
Philippines,Asia,2000,Residential,134224133.0,3163110.71,1169.0,Baseline
Germany,Europe,2000,Transport,245616392.0,3116148.1549755414,2036.45,Policy_Reduction
United States,North America,2017,Agriculture,1747940689.0,,904.46,Policy_Reduction
Australia,Oceania,2002,Transport,617922414.0,245684.998710527,1790.88,Policy_Reduction
United Kingdom,Europe,2019,Energy,,2441447.768379611,11903.09,Policy_Reduction
Germany,Europe,2001,Industry,250160269.0,2982249.582394435,2720.45,Policy_Reduction
France,Europe,2010,Transport,1381003117.0,971775.48718111,,Renewable_Transition
Germany,Europe,1995,Agriculture,,2373732.0,858.08,Baseline
Saudi Arabia,Middle East,2007,Transport,1436840172.0,,270.93,High_Growth
UAE,Asia,2023,Residential,892295406.0,4602266.72,,Baseline
China,Asia,2024,Residential,,5792583.7,1059.76,Baseline
China,Asia,2016,Energy,233185601.0,4794607.541628677,2067.32,High_Growth
Russia,Europe,2006,Energy,1500835067.0,1962833.69,,Baseline
Bangladesh,Asia,2001,Agriculture,1530330050.0,303711.7428637233,532.26,Renewable_Transition
Malaysia,Asia,2008,Energy,,,7166.01,High_Growth
Iran,Asia,2012,Energy,1091965749.0,820423.2933368558,1442.24,High_Growth
JAPAN,Asia,2023,Residential,656311140.0,5362145.3,1904.47,Baseline
United States,North America,1999,Industry,1276758192.0,294734.88,1977.34,Baseline
Australia,Oceania,2009,Residential,643575288.0,419518.64924791956,1081.04,Renewable_Transition
United States,North America,2012,Agriculture,1622846954.0,413252.2274260997,572.36,Renewable_Transition
PHILIPPINES,Asia,2021,Agriculture,159870890.0,7339601.742908287,548.1,Policy_Reduction
Iran,Asia,2019,Residential,1182447183.0,,383.76,High_Growth
Bangladesh,Asia,1996,Energy,1381840453.0,257691.97649626702,5422.68,High_Growth
Egypt,Africa,2019,Residential,1402229548.0,7374431.413176315,585.03,High_Growth
Brazil,South America,2020,Residential,585652569.0,4604660.79,2057.92,Baseline
Australia,Oceania,2024,Agriculture,,970223.877944123,1442.7,Policy_Reduction
Italy,Europe,2002,Transport,1003366596.0,1257443.08,2543.81,Baseline
Germany,Europe,2006,Industry,259705181.0,2963066.75,4544.57,Baseline
Spain,Europe,2006,Residential,605382542.0,2123413.38,774.38,Baseline
UAE,Asia,2004,Energy,803195723.0,2571792.1365725202,5514.69,High_Growth
Canada,North America,2017,Transport,,,,Renewable_Transition
RUSSIA,Europe,2022,Transport,,5312737.709192232,2158.96,Policy_Reduction
Philippines,Asia,2011,Industry,163553323.0,4316489.992777663,,Renewable_Transition
Malaysia,Asia,2008,Residential,1670936998.0,,1366.0,Renewable_Transition
Germany,Europe,2006,Residential,259705181.0,2922311.6852427376,984.75,Policy_Reduction
Vietnam,Asia,1999,Agriculture,291239028.0,688357.3587587087,522.33,Renewable_Transition
United States,North America,2005,Residential,1458367678.0,360559.72662886867,,High_Growth
Brazil,South America,2010,Residential,503097969.0,3181746.53,1173.35,Baseline
Indonesia,Asia,2003,Transport,542326720.0,,,High_Growth
United States,North America,2020,Residential,1666909804.0,,979.66,Renewable_Transition
Australia,Oceania,2003,Energy,619362124.0,245105.09,4616.01,Baseline
Saudi Arabia,Middle East,1997,Residential,1263191481.0,2360730.5150587186,120.96,Policy_Reduction
United Kingdom,Europe,1998,Residential,71668848.0,1185093.6594222118,,Policy_Reduction
Vietnam,Asia,2009,Industry,323267906.0,882670.122771103,3486.74,High_Growth
UAE,Asia,2014,Agriculture,1062079852.0,2859113.2269974668,2053.54,High_Growth
Malaysia,Asia,2006,Industry,1481452187.0,2963572.8321684217,2005.94,Renewable_Transition
Spain,Europe,2016,Energy,,2216272.6273562,7517.95,Renewable_Transition
Spain,Europe,2017,Residential,688539887.0,2499087.04,,Baseline
Pakistan,Asia,2023,Transport,1906733181.0,3518023.6963234018,2264.22,High_Growth
Spain,Europe,2021,Energy,763765031.0,,6806.4,Policy_Reduction
United Kingdom,Europe,1995,Agriculture,69612573.0,1041398.3479914748,598.91,Renewable_Transition
Malaysia,Asia,2004,Transport,1495756190.0,2209625.22,2182.53,Baseline
United States,North America,1995,Transport,1237077737.0,236671.0,1205.02,Baseline
AUSTRALIA,Oceania,2012,Energy,665957866.0,470230.88308771676,5887.65,High_Growth
Bangladesh,Asia,1998,Residential,1450350915.0,253927.97403413427,1044.19,Policy_Reduction
Mexico,North America,2002,Industry,245595949.0,214180.13341538323,935.97,High_Growth
UAE,Asia,1997,Transport,768808397.0,1819791.751318145,1750.39,Policy_Reduction
Russia,Europe,2023,Agriculture,1546389636.0,5006147.616063756,212.45,Renewable_Transition
Thailand,Asia,1998,Residential,34653381.0,2980622.7682973077,145.7,Policy_Reduction
FRANCE,Europe,2023,Energy,1588745653.0,2838957.1323365583,9296.02,Renewable_Transition
Italy,Europe,2016,Residential,,,846.0,Policy_Reduction
South Korea,Asia,2018,Industry,1505183964.0,4950728.163597285,2957.39,Policy_Reduction
Vietnam,Asia,2014,Transport,378676354.0,1588024.6390960645,4274.69,High_Growth
Pakistan,Asia,2004,Energy,1576118621.0,2785436.565307094,1904.11,Renewable_Transition
Egypt,Africa,2020,Agriculture,1568867132.0,3951092.4,149.78,Baseline
Thailand,Asia,2012,Residential,40776043.0,5035758.162726038,217.34,Policy_Reduction
INDONESIA,Asia,2010,Energy,563217939.0,2159708.6205355325,4165.78,Policy_Reduction
Pakistan,Asia,2006,Energy,1652466463.0,2618905.6855921564,1554.35,Renewable_Transition
Thailand,Asia,2017,Industry,51291976.0,7281778.90278898,218.72,Renewable_Transition
Malaysia,Asia,2017,Agriculture,1581298494.0,4070623.633321699,1064.9,Policy_Reduction
Canada,North America,2014,Industry,1002554842.0,1363496.92,5184.97,Baseline
UAE,Asia,2000,Transport,818592373.0,2212332.92,2228.45,Baseline
Malaysia,Asia,2020,Agriculture,2209240061.0,3775018.5815328206,1825.12,Policy_Reduction
UNITED KINGDOM,Europe,2008,Transport,76271557.0,2012046.17,2525.63,Baseline
Iran,Asia,2009,Energy,1012304967.0,1044310.6051907332,,Renewable_Transition
Thailand,Asia,1998,Energy,34653381.0,3001469.158730045,690.71,Policy_Reduction
Thailand,Asia,2016,Industry,46472881.0,,,Policy_Reduction
Iran,Asia,2002,Transport,902323809.0,576284.4910250157,263.22,Policy_Reduction
Vietnam,Asia,1995,Energy,274780516.0,613826.263145977,3162.95,Policy_Reduction
China,Asia,2011,Residential,183830234.0,3348936.9526619697,527.96,Policy_Reduction
Brazil,South America,2010,Transport,,3331507.6026375093,1538.23,Renewable_Transition
Bangladesh,Asia,2001,Energy,1530330050.0,,4081.04,Policy_Reduction
UAE,Asia,2012,Residential,,4598702.39,932.35,Baseline
Germany,Europe,2008,Industry,294525696.0,4895238.277675157,4153.09,Renewable_Transition
Russia,Europe,2022,Agriculture,1570441498.0,5516004.022346768,183.1,Policy_Reduction
Bangladesh,Asia,2007,Transport,1693727089.0,392570.67954544263,1665.56,Renewable_Transition
Japan,Asia,2024,Industry,687794050.0,6281829.12706932,3908.0,Policy_Reduction
India,Asia,2013,Energy,1714490323.0,2610048.09,6087.1,Baseline
China,Asia,1996,Industry,171766188.0,1944842.344669813,610.62,Renewable_Transition
France,Europe,2021,Agriculture,1587136019.0,1995129.06,,Baseline
India,Asia,2018,Agriculture,1999380332.0,,654.35,Policy_Reduction
Russia,Europe,1995,Agriculture,1230368209.0,1444994.3090743017,321.18,Policy_Reduction
Iran,Asia,2011,Energy,991412483.0,999482.1513021498,1933.79,High_Growth
France,Europe,2022,Residential,1796845418.0,1315031.7669192832,,Renewable_Transition
Japan,Asia,2015,Industry,485719836.0,,3827.93,Renewable_Transition
Mexico,North America,1996,Agriculture,232200093.0,148259.96054117812,163.98,Policy_Reduction
UAE,Asia,2024,Industry,1161493722.0,3799267.19,6892.36,Baseline
United Kingdom,Europe,1999,Transport,,1150062.79,2060.18,Baseline
China,Asia,2016,Residential,233185601.0,5046133.29515065,482.83,High_Growth
Bangladesh,Asia,2014,Energy,1847052820.0,324908.0708493756,,Policy_Reduction
Bangladesh,Asia,2004,Residential,1633083009.0,281446.7911832481,722.81,Renewable_Transition
Mexico,North America,2010,Industry,281183152.0,315706.78,875.55,Baseline
Indonesia,Asia,2020,Industry,645408766.0,3021868.14,9723.82,Baseline
